series,n_years,mk_tau,mk_s,mk_p,mk_trend,ts_slope_decade,ts_ci_low,ts_ci_high,ols_slope_decade,ols_r2,ols_ci_low,ols_ci_high,ols_p,durbin_watson,lag1_acf,n_eff,ols_ci_low_corr,ols_ci_high_corr,ols_significant_corrected,slope_exceeds_measurement_unc,verdict
Land-only,266,0.4847779826925805,17086.0,0.0,increasing,0.05202380952380953,0.04399242424242407,0.06010416666666574,0.0471354542718334,0.39434629055762427,0.04005660501160939,0.05421430353205742,1.392944035445782e-30,0.8476429509735279,0.5659897542381371,73.72125204536923,0.03352098699046703,0.060749921553199776,True,True,"Significant monotonic warming, robust to autocorrelation and to the dataset's measurement uncertainty."
Land+Ocean,166,0.6811975173420957,9329.0,0.0,increasing,0.05295698924731168,0.047395833333334636,0.05874338624338614,0.053500721448669006,0.7414785628168103,0.04862990865020499,0.058371534247133025,4.815233666937047e-50,0.5365998385536389,0.7089685190295918,28.269231002874445,0.04121951985459654,0.06578192304274147,True,True,"Significant monotonic warming, robust to autocorrelation and to the dataset's measurement uncertainty."
